Experiment_ID,Pressure_Level,Larva_ID,Prior_Duration,Stimulation_Duration,Time_Frame,Ratiometric,Registered
200422_CaI_Platynereis_M1_L1_E004,500,200422_CaI_Platynereis_M1_L1,30,60,0.206,NO,NO
200422_CaI_Platynereis_M1_L1_E005,1000,200422_CaI_Platynereis_M1_L1,30,60,0.206,NO,NO
200422_CaI_Platynereis_M1_L1_E006,100,200422_CaI_Platynereis_M1_L1,30,60,0.206,NO,NO
200422_CaI_Platynereis_M1_L1_E007,750,200422_CaI_Platynereis_M1_L1,10,60,0.206,NO,YES
200422_CaI_Platynereis_M1_L1_E008,250,200422_CaI_Platynereis_M1_L1,10,60,0.206,NO,YES
200422_CaI_Platynereis_M2_L1_E004,1000,200422_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M2_L1_E005,500,200422_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M2_L1_E006,750,200422_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M2_L1_E007,250,200422_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M2_L1_E008,100,200422_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M2_L1_E009,750,200422_CaI_Platynereis_M2_L1,30,60,0.206,NO,NO
200422_CaI_Platynereis_M3_L1_E004,750,200422_CaI_Platynereis_M3_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M3_L1_E005,500,200422_CaI_Platynereis_M3_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M3_L1_E006,100,200422_CaI_Platynereis_M3_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M3_L1_E007,250,200422_CaI_Platynereis_M3_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M3_L1_E008,1000,200422_CaI_Platynereis_M3_L1,30,60,0.206,NO,YES
200422_CaI_Platynereis_M3_L1_E009,750,200422_CaI_Platynereis_M3_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E004,250,210422_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E005,750,210422_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E006,100,210422_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E007,500,210422_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E008,1000,210422_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E009,750,210422_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
210422_CaI_Platynereis_M1_L1_E013,750,210422_CaI_Platynereis_M1_L1,30,60,0.26,NO,YES
140722_CaI_Platynereis_M2_L1_E010,500,140722_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
140722_CaI_Platynereis_M2_L1_E011,750,140722_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
140722_CaI_Platynereis_M2_L1_E012,100,140722_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
140722_CaI_Platynereis_M2_L1_E013,250,140722_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
140722_CaI_Platynereis_M2_L1_E014,1000,140722_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E007,100,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E008,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E009,250,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E010,1000,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E011,500,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E012,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E013,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E014,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E015,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E016,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES
150722_CaI_Platynereis_M1_L1_E017,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,NO
150722_CaI_Platynereis_M2_L1_E008,250,150722_CaI_Platynereis_M2_L1,30,60,0.301,NO,YES
150722_CaI_Platynereis_M2_L1_E009,500,150722_CaI_Platynereis_M2_L1,30,60,0.315,NO,YES
150722_CaI_Platynereis_M2_L1_E010,750,150722_CaI_Platynereis_M2_L1,30,60,0.315,NO,YES
150722_CaI_Platynereis_M2_L1_E011,100,150722_CaI_Platynereis_M2_L1,30,60,0.315,NO,YES
150722_CaI_Platynereis_M2_L1_E014,750,150722_CaI_Platynereis_M2_L1,30,60,0.301,NO,YES
150722_CaI_Platynereis_M2_L1_E015,750,150722_CaI_Platynereis_M2_L1,30,60,0.206,NO,YES
090922_CaI_Platynereis_M2_L1_E008,1000,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES
090922_CaI_Platynereis_M2_L1_E009,250,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES
090922_CaI_Platynereis_M2_L1_E010,750,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES
090922_CaI_Platynereis_M2_L1_E011,500,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES
090922_CaI_Platynereis_M2_L1_E012,750,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E007,1000,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E008,100,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E009,250,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E010,500,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E011,750,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E012,750,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E016,750,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
140922_CaI_Platynereis_M1_L1_E018,750,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E007-2,250,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E008,100,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E009,500,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E010,750,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E011,1000,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E012,750,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E013,750,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E017,750,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
150922_CaI_Platynereis_M1_L1_E018,750,150922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E007,500,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E008,100,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E009,750,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E010,1000,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E011,250,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E012,750,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E013,750,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E017,750,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
180922_CaI_Platynereis_M1_L1_E018,750,180922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E007,1000,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E008,750,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E009,100,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E010,250,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E011,500,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E012,750,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E013,750,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E014,750,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
190922_CaI_Platynereis_M1_L1_E019,750,190922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES
